년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018-12-28,254500 ,6500 ,12268 ,3129185500 ,245500 ,258000 ,245500 ,1548032 ,6082642 
2018-12-27,248000 ,-4000 ,14775 ,3663181000 ,247000 ,250500 ,246000 ,1508495 ,6082642 
2018-12-26,252000 ,-3500 ,15267 ,3823956000 ,251000 ,255500 ,245500 ,1532826 ,6082642 
2018-12-24,255500 ,-4500 ,6617 ,1699710000 ,260000 ,260000 ,254500 ,1554115 ,6082642 
2018-12-21,260000 ,1000 ,17199 ,4461333000 ,261500 ,262000 ,256500 ,1581487 ,6082642 
2018-12-20,259000 ,-500 ,19782 ,5137244000 ,261500 ,261500 ,256500 ,1575404 ,6082642 
2018-12-19,259500 ,-500 ,11469 ,2974013000 ,261000 ,261500 ,258000 ,1578446 ,6082642 
2018-12-18,260000 ,4500 ,22786 ,5895637000 ,255500 ,260000 ,254000 ,1581487 ,6082642 
2018-12-17,255500 ,-2000 ,11875 ,3057002000 ,256000 ,261500 ,255500 ,1554115 ,6082642 
2018-12-14,257500 ,-6000 ,13245 ,3423178000 ,263000 ,264000 ,256500 ,1566280 ,6082642 
2018-12-13,263500 ,1000 ,22779 ,5962282000 ,262500 ,263500 ,259000 ,1602776 ,6082642 
2018-12-12,262500 ,500 ,12873 ,3364998000 ,262000 ,263500 ,258500 ,1596694 ,6082642 
2018-12-11,262000 ,1500 ,12856 ,3356239500 ,258500 ,262500 ,257500 ,1593652 ,6082642 
2018-12-10,260500 ,2500 ,20277 ,5253194500 ,253500 ,261000 ,253500 ,1584528 ,6082642 
2018-12-07,258000 ,1000 ,16220 ,4179891000 ,257500 ,259500 ,255500 ,1569322 ,6082642 
2018-12-06,257000 ,0 ,16706 ,4294648000 ,258000 ,259500 ,254000 ,1563239 ,6082642 
2018-12-05,257000 ,7000 ,28585 ,7295772000 ,249500 ,259000 ,248500 ,1563239 ,6082642 
2018-12-04,250000 ,-1500 ,9068 ,2267181000 ,250000 ,253000 ,248000 ,1520660 ,6082642 
2018-12-03,251500 ,500 ,11635 ,2943319500 ,251000 ,256000 ,250000 ,1529784 ,6082642 
2018-11-30,251000 ,1500 ,22232 ,5557659500 ,250500 ,253500 ,247500 ,1526743 ,6082642 
2018-11-29,249500 ,-4500 ,11822 ,2968156000 ,255500 ,256000 ,249000 ,1517619 ,6082642 
2018-11-28,254000 ,2000 ,11711 ,2959632500 ,254000 ,255000 ,250000 ,1544991 ,6082642 
2018-11-27,252000 ,-3500 ,9632 ,2433284500 ,255000 ,255500 ,251500 ,1532826 ,6082642 
2018-11-26,255500 ,8000 ,27385 ,6986427000 ,246500 ,257000 ,246500 ,1554115 ,6082642 
2018-11-23,247500 ,0 ,14050 ,3444736500 ,248500 ,249500 ,243000 ,1505454 ,6082642 
2018-11-22,247500 ,-3500 ,12813 ,3179017000 ,251500 ,252500 ,246500 ,1505454 ,6082642 
2018-11-21,251000 ,-1500 ,20370 ,5083381500 ,252000 ,252000 ,246000 ,1526743 ,6082642 
2018-11-20,252500 ,4000 ,27475 ,6919516500 ,246000 ,253500 ,244500 ,1535867 ,6082642 
2018-11-19,248500 ,-500 ,14582 ,3639858000 ,248500 ,253500 ,247000 ,1511537 ,6082642 
2018-11-16,249000 ,7000 ,34047 ,8455858500 ,243000 ,250500 ,242500 ,1514578 ,6082642 
2018-11-15,242000 ,7000 ,47692 ,11553532500 ,235000 ,245000 ,235000 ,1471999 ,6082642 
2018-11-14,235000 ,0 ,15999 ,3779926000 ,238000 ,238000 ,234500 ,1429421 ,6082642 
2018-11-13,235000 ,2500 ,32193 ,7520123500 ,231000 ,237000 ,227000 ,1429421 ,6082642 
2018-11-12,232500 ,10500 ,23033 ,5281359500 ,224500 ,233000 ,221500 ,1414214 ,6082642 
