년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018-12-28,52000 ,1400 ,32682 ,1672167600 ,50600 ,52100 ,50500 ,391717 ,7533015 
2018-12-27,50600 ,400 ,39015 ,1985530700 ,50700 ,51800 ,50200 ,381171 ,7533015 
2018-12-26,50200 ,-2600 ,48191 ,2438369500 ,51600 ,52200 ,50100 ,378157 ,7533015 
2018-12-24,52800 ,-2000 ,42860 ,2277374500 ,54800 ,55300 ,52600 ,397743 ,7533015 
2018-12-21,54800 ,-200 ,31826 ,1739188200 ,54500 ,55500 ,54100 ,412809 ,7533015 
2018-12-20,55000 ,-900 ,39314 ,2154028600 ,55400 ,55500 ,54200 ,414316 ,7533015 
2018-12-19,55900 ,-200 ,34222 ,1895804300 ,56200 ,56500 ,54700 ,421096 ,7533015 
2018-12-18,56100 ,0 ,28747 ,1595957200 ,55100 ,56200 ,54600 ,422602 ,7533015 
2018-12-17,56100 ,-200 ,34655 ,1915040400 ,55800 ,56300 ,54200 ,422602 ,7533015 
2018-12-14,56300 ,-1600 ,49335 ,2774901600 ,58300 ,58300 ,54900 ,424109 ,7533015 
2018-12-13,57900 ,800 ,18701 ,1072779100 ,57100 ,58000 ,57000 ,436162 ,7533015 
2018-12-12,57100 ,400 ,26498 ,1519095300 ,56500 ,58000 ,56500 ,430135 ,7533015 
2018-12-11,56700 ,-1500 ,28384 ,1618889900 ,58800 ,58800 ,56600 ,427122 ,7533015 
2018-12-10,58200 ,-1700 ,29625 ,1729238300 ,59300 ,59300 ,57300 ,438421 ,7533015 
2018-12-07,59900 ,900 ,39943 ,2440905700 ,60300 ,62100 ,59700 ,451228 ,7533015 
2018-12-06,59000 ,-2900 ,39135 ,2338192400 ,61800 ,61800 ,58600 ,444448 ,7533015 
2018-12-05,61900 ,600 ,22253 ,1369598800 ,60100 ,62100 ,60000 ,466294 ,7533015 
2018-12-04,61300 ,-100 ,15426 ,937280700 ,61400 ,61400 ,60300 ,461774 ,7533015 
2018-12-03,61400 ,800 ,16936 ,1037159200 ,62000 ,62000 ,60600 ,462527 ,7533015 
2018-11-30,60600 ,-700 ,22023 ,1351176200 ,61300 ,62400 ,60300 ,456501 ,7533015 
2018-11-29,61300 ,-1500 ,33746 ,2094626300 ,63000 ,64400 ,60800 ,461774 ,7533015 
2018-11-28,62800 ,2700 ,57136 ,3550838500 ,60100 ,63200 ,60100 ,473073 ,7533015 
2018-11-27,60100 ,1200 ,39884 ,2394870100 ,59100 ,60800 ,58200 ,452734 ,7533015 
2018-11-26,58900 ,2900 ,55337 ,3227960800 ,55600 ,59500 ,55600 ,443695 ,7533015 
2018-11-23,56000 ,-500 ,18088 ,1015320100 ,56500 ,57000 ,55700 ,421849 ,7533015 
2018-11-22,56500 ,-1400 ,32533 ,1853925900 ,57900 ,58800 ,56300 ,425615 ,7533015 
2018-11-21,57900 ,-1600 ,40566 ,2340114400 ,59100 ,59100 ,56800 ,436162 ,7533015 
2018-11-20,59500 ,-900 ,28656 ,1722709300 ,59200 ,61500 ,59200 ,448214 ,7533015 
2018-11-19,60400 ,-500 ,36641 ,2231514300 ,60900 ,62300 ,59900 ,454994 ,7533015 
2018-11-16,60900 ,1900 ,31869 ,1908774500 ,59500 ,60900 ,59000 ,458761 ,7533015 
2018-11-15,59000 ,-100 ,25923 ,1522773000 ,58500 ,60300 ,58000 ,444448 ,7533015 
2018-11-14,59100 ,-2100 ,25245 ,1507116700 ,61000 ,61100 ,58700 ,445201 ,7533015 
2018-11-13,61200 ,3500 ,53163 ,3116067000 ,55800 ,61200 ,55600 ,461021 ,7533015 
2018-11-12,57700 ,-2400 ,40217 ,2333616700 ,60200 ,60300 ,57500 ,434655 ,7533015 
2018-11-09,60100 ,-600 ,21243 ,1278019000 ,61200 ,61200 ,59500 ,452734 ,7533015 
2018-11-08,60700 ,700 ,29041 ,1767151900 ,61600 ,61800 ,60300 ,457254 ,7533015 
2018-11-07,60000 ,-2300 ,52977 ,3250270200 ,63000 ,64400 ,59300 ,451981 ,7533015 
2018-11-06,62300 ,100 ,14045 ,880247300 ,62300 ,63300 ,62100 ,469307 ,7533015 
2018-11-05,62200 ,-2600 ,26801 ,1677883500 ,64800 ,64800 ,62000 ,468554 ,7533015 
2018-11-02,64800 ,800 ,37402 ,2440554500 ,64100 ,66100 ,64100 ,488139 ,7533015 
2018-11-01,64000 ,3300 ,34982 ,2204449600 ,61600 ,64600 ,60800 ,482113 ,7533015 
2018-10-31,60700 ,-900 ,19576 ,1195871200 ,61600 ,61700 ,60500 ,457254 ,7533015 
2018-10-30,61600 ,1000 ,36205 ,2197582000 ,58800 ,61600 ,58800 ,464034 ,7533015 
2018-10-29,60600 ,400 ,42951 ,2616500600 ,59400 ,62100 ,59400 ,456501 ,7533015 
2018-10-26,60200 ,-600 ,42973 ,2557393800 ,60900 ,61500 ,58400 ,453488 ,7533015 
2018-10-25,60800 ,-700 ,47137 ,2845163500 ,58600 ,62300 ,58600 ,458007 ,7533015 
2018-10-24,61500 ,-2600 ,29350 ,1827687000 ,64200 ,65000 ,61200 ,463280 ,7533015 
2018-10-23,64100 ,-2700 ,40121 ,2594672700 ,67100 ,67700 ,63500 ,482866 ,7533015 
2018-10-22,66800 ,1800 ,26410 ,1737994900 ,65000 ,67100 ,64100 ,503205 ,7533015 
2018-10-19,65000 ,100 ,23476 ,1509223800 ,63700 ,65300 ,63100 ,489646 ,7533015 
2018-10-18,64900 ,-500 ,25303 ,1630223000 ,66200 ,66200 ,63000 ,488893 ,7533015 
2018-10-17,65400 ,300 ,22468 ,1468977200 ,65600 ,66300 ,64700 ,492659 ,7533015 
2018-10-16,65100 ,800 ,25390 ,1654686700 ,64300 ,66000 ,64300 ,490399 ,7533015 
2018-10-15,64300 ,-1500 ,14881 ,971152100 ,65800 ,66900 ,64200 ,484373 ,7533015 
2018-10-12,65800 ,2600 ,59698 ,3866292900 ,61600 ,66100 ,61600 ,495672 ,7533015 
2018-10-11,63200 ,-3400 ,72330 ,4615368600 ,64000 ,65900 ,62500 ,476087 ,7533015 
