년/월/일,종가,대비,거래량(주),거래대금(원),시가,고가,저가,시가총액(백만),상장주식수(주)
2018-12-28,724000 ,4000 ,2713 ,1966433000 ,717000 ,733000 ,717000 ,2610192 ,3605237 
2018-12-27,720000 ,-2000 ,2763 ,1989878000 ,712000 ,730000 ,708000 ,2595771 ,3605237 
2018-12-26,722000 ,-3000 ,3431 ,2464805000 ,725000 ,727000 ,708000 ,2602981 ,3605237 
2018-12-24,725000 ,-22000 ,2651 ,1937816000 ,749000 ,750000 ,712000 ,2613797 ,3605237 
2018-12-21,747000 ,-6000 ,6202 ,4641062000 ,755000 ,755000 ,740000 ,2693112 ,3605237 
2018-12-20,753000 ,13000 ,5299 ,3967640000 ,748000 ,753000 ,729000 ,2714743 ,3605237 
2018-12-19,740000 ,1000 ,3662 ,2708634000 ,742000 ,745000 ,734000 ,2667875 ,3605237 
2018-12-18,739000 ,-5000 ,4315 ,3168156000 ,748000 ,748000 ,729000 ,2664270 ,3605237 
2018-12-17,744000 ,1000 ,3836 ,2845828000 ,750000 ,750000 ,735000 ,2682296 ,3605237 
2018-12-14,743000 ,-2000 ,3178 ,2348370000 ,740000 ,749000 ,733000 ,2678691 ,3605237 
2018-12-13,745000 ,7000 ,6286 ,4669939000 ,741000 ,745000 ,735000 ,2685902 ,3605237 
2018-12-12,738000 ,2000 ,4300 ,3168292000 ,748000 ,748000 ,730000 ,2660665 ,3605237 
2018-12-11,736000 ,0 ,2722 ,2003484000 ,730000 ,741000 ,728000 ,2653454 ,3605237 
2018-12-10,736000 ,5000 ,3436 ,2509702000 ,723000 ,736000 ,723000 ,2653454 ,3605237 
2018-12-07,731000 ,-5000 ,1988 ,1457907000 ,737000 ,741000 ,729000 ,2635428 ,3605237 
2018-12-06,736000 ,-5000 ,2780 ,2041784000 ,741000 ,741000 ,730000 ,2653454 ,3605237 
2018-12-05,741000 ,9000 ,2462 ,1819495000 ,730000 ,743000 ,726000 ,2671481 ,3605237 
2018-12-04,732000 ,3000 ,3320 ,2422101000 ,729000 ,737000 ,725000 ,2639033 ,3605237 
