날짜,통화명,환율
2014.03.03,위안화 (CNH),174.19
2014.03.04,위안화 (CNH),174.94
2014.03.05,위안화 (CNH),174.82
2014.03.06,위안화 (CNH),174.82
2014.03.07,위안화 (CNH),174.97
2014.03.10,위안화 (CNH),173.91
2014.03.11,위안화 (CNH),173.68
2014.03.12,위안화 (CNH),173.34
2014.03.13,위안화 (CNH),174.1
2014.03.14,위안화 (CNH),173.8
2014.03.17,위안화 (CNH),174.2
2014.03.18,위안화 (CNH),173.66
2014.03.19,위안화 (CNH),172.87
2014.03.20,위안화 (CNH),173.01
2014.03.21,위안화 (CNH),173.24
2014.03.24,위안화 (CNH),174.33
2014.03.25,위안화 (CNH),174.65
2014.03.26,위안화 (CNH),174.34
2014.03.27,위안화 (CNH),173.3
2014.03.28,위안화 (CNH),172.81
2014.03.31,위안화 (CNH),172.3
2014.04.01,위안화 (CNH),171.55
2014.04.02,위안화 (CNH),170.9
2014.04.03,위안화 (CNH),170.41
2014.04.04,위안화 (CNH),170.24
2014.04.07,위안화 (CNH),169.89
2014.04.08,위안화 (CNH),169.59
2014.04.09,위안화 (CNH),170.17
2014.04.10,위안화 (CNH),168.46
2014.04.11,위안화 (CNH),166.85
2014.04.14,위안화 (CNH),167.06
2014.04.15,위안화 (CNH),166.94
2014.04.16,위안화 (CNH),167.24
2014.04.17,위안화 (CNH),167.26
2014.04.18,위안화 (CNH),166.64
2014.04.21,위안화 (CNH),166.65
2014.04.22,위안화 (CNH),166.64
2014.04.23,위안화 (CNH),166.68
2014.04.24,위안화 (CNH),166.57
2014.04.25,위안화 (CNH),166.04
2014.04.28,위안화 (CNH),166.01
2014.04.29,위안화 (CNH),165.87
2014.04.30,위안화 (CNH),164.82
2014.05.02,위안화 (CNH),165.05
2014.05.07,위안화 (CNH),165.71
2014.05.08,위안화 (CNH),164.5
2014.05.09,위안화 (CNH),164.22
2014.05.12,위안화 (CNH),164.09
2014.05.13,위안화 (CNH),164.16
2014.05.14,위안화 (CNH),164.01
2014.05.15,위안화 (CNH),164.58
2014.05.16,위안화 (CNH),164.7
2014.05.19,위안화 (CNH),164.58
2014.05.20,위안화 (CNH),163.98
2014.05.21,위안화 (CNH),164.18
2014.05.22,위안화 (CNH),164.68
2014.05.23,위안화 (CNH),164.5
2014.05.26,위안화 (CNH),164.3
2014.05.27,위안화 (CNH),164.17
2014.05.28,위안화 (CNH),163.61
2014.05.29,위안화 (CNH),163.21
2014.05.30,위안화 (CNH),163.52
2014.06.02,위안화 (CNH),163.33
2014.06.03,위안화 (CNH),163.62
2014.06.05,위안화 (CNH),163.77
2014.06.09,위안화 (CNH),163.75
2014.06.10,위안화 (CNH),163.38
2014.06.11,위안화 (CNH),163.53
2014.06.12,위안화 (CNH),163.3
2014.06.13,위안화 (CNH),163.79
2014.06.16,위안화 (CNH),163.84
2014.06.17,위안화 (CNH),163.92
2014.06.18,위안화 (CNH),163.99
2014.06.19,위안화 (CNH),164.29
2014.06.20,위안화 (CNH),163.45
2014.06.23,위안화 (CNH),163.74
2014.06.24,위안화 (CNH),163.64
2014.06.25,위안화 (CNH),163.36
2014.06.26,위안화 (CNH),163.86
2014.06.27,위안화 (CNH),163.34
2014.06.30,위안화 (CNH),163.2
2014.07.01,위안화 (CNH),163.11
2014.07.02,위안화 (CNH),163.07
2014.07.03,위안화 (CNH),162.48
2014.07.04,위안화 (CNH),162.54
2014.07.07,위안화 (CNH),162.59
2014.07.08,위안화 (CNH),162.81
2014.07.09,위안화 (CNH),163.01
2014.07.10,위안화 (CNH),163.34
2014.07.11,위안화 (CNH),163.12
2014.07.14,위안화 (CNH),164.09
2014.07.15,위안화 (CNH),164.04
2014.07.16,위안화 (CNH),164.72
2014.07.17,위안화 (CNH),166.3
2014.07.18,위안화 (CNH),165.92
2014.07.21,위안화 (CNH),166.28
2014.07.22,위안화 (CNH),165.51
2014.07.23,위안화 (CNH),165.18
2014.07.24,위안화 (CNH),165.18
2014.07.25,위안화 (CNH),166.03
2014.07.28,위안화 (CNH),166.33
2014.07.29,위안화 (CNH),165.86
2014.07.30,위안화 (CNH),165.78
2014.07.31,위안화 (CNH),165.92
2014.08.01,위안화 (CNH),166.02
2014.08.04,위안화 (CNH),167.24
2014.08.05,위안화 (CNH),167.1
2014.08.06,위안화 (CNH),167.09
2014.08.07,위안화 (CNH),167.86
2014.08.08,위안화 (CNH),167.75
2014.08.11,위안화 (CNH),168.54
2014.08.12,위안화 (CNH),167.45
2014.08.13,위안화 (CNH),166.92
2014.08.14,위안화 (CNH),166.93
2014.08.18,위안화 (CNH),166.72
2014.08.19,위안화 (CNH),165.73
2014.08.20,위안화 (CNH),165.7
2014.08.21,위안화 (CNH),166.14
2014.08.22,위안화 (CNH),166.36
2014.08.25,위안화 (CNH),165.54
2014.08.26,위안화 (CNH),165.79
2014.08.27,위안화 (CNH),165.51
2014.08.28,위안화 (CNH),165.14
2014.08.29,위안화 (CNH),164.8
2014.09.01,위안화 (CNH),165.04
2014.09.02,위안화 (CNH),165
2014.09.03,위안화 (CNH),165.05
2014.09.04,위안화 (CNH),165.78
2014.09.05,위안화 (CNH),165.58
2014.09.11,위안화 (CNH),167.04
2014.09.12,위안화 (CNH),168.55
2014.09.15,위안화 (CNH),169.02
2014.09.16,위안화 (CNH),168.46
2014.09.17,위안화 (CNH),168.15
2014.09.18,위안화 (CNH),167.97
2014.09.19,위안화 (CNH),169.44
2014.09.22,위안화 (CNH),170.04
2014.09.23,위안화 (CNH),169.13
2014.09.24,위안화 (CNH),169.66
2014.09.25,위안화 (CNH),169.36
2014.09.26,위안화 (CNH),169.59
2014.09.29,위안화 (CNH),169.55
2014.09.30,위안화 (CNH),170.02
2014.10.01,위안화 (CNH),170.7
2014.10.02,위안화 (CNH),172.12
2014.10.06,위안화 (CNH),172.04
2014.10.07,위안화 (CNH),173.88
2014.10.08,위안화 (CNH),173.49
2014.10.10,위안화 (CNH),174.66
2014.10.13,위안화 (CNH),174.4
2014.10.14,위안화 (CNH),174.2
2014.10.15,위안화 (CNH),173.19
2014.10.16,위안화 (CNH),173.69
2014.10.17,위안화 (CNH),172.55
2014.10.20,위안화 (CNH),173.03
2014.10.21,위안화 (CNH),172.91
2014.10.22,위안화 (CNH),172.1
2014.10.23,위안화 (CNH),172.04
2014.10.24,위안화 (CNH),172.26
2014.10.27,위안화 (CNH),172.95
2014.10.28,위안화 (CNH),171.99
2014.10.29,위안화 (CNH),171.84
2014.10.30,위안화 (CNH),171.15
2014.10.31,위안화 (CNH),172.29
2014.11.03,위안화 (CNH),172.78
2014.11.04,위안화 (CNH),175.43
2014.11.05,위안화 (CNH),176.51
2014.11.06,위안화 (CNH),176.21
2014.11.07,위안화 (CNH),177.86
2014.11.10,위안화 (CNH),178.05
2014.11.11,위안화 (CNH),177.2
2014.11.12,위안화 (CNH),177.83
2014.11.13,위안화 (CNH),179.16
2014.11.14,위안화 (CNH),179.03
2014.11.17,위안화 (CNH),179.37
2014.11.18,위안화 (CNH),179.07
2014.11.19,위안화 (CNH),179.61
2014.11.20,위안화 (CNH),180.27
2014.11.21,위안화 (CNH),181.73
2014.11.24,위안화 (CNH),181.07
2014.11.25,위안화 (CNH),180.57
2014.11.26,위안화 (CNH),181.08
2014.11.27,위안화 (CNH),180.05
2014.11.28,위안화 (CNH),179.13
2014.12.01,위안화 (CNH),179.34
2014.12.02,위안화 (CNH),181.25
2014.12.03,위안화 (CNH),179.78
2014.12.04,위안화 (CNH),181.24
2014.12.05,위안화 (CNH),181.37
2014.12.08,위안화 (CNH),180.73
2014.12.09,위안화 (CNH),181.15
2014.12.10,위안화 (CNH),179.71
2014.12.11,위안화 (CNH),178.73
2014.12.12,위안화 (CNH),177.22
2014.12.15,위안화 (CNH),178.15
2014.12.16,위안화 (CNH),177.92
2014.12.17,위안화 (CNH),176.39
2014.12.18,위안화 (CNH),175.41
2014.12.19,위안화 (CNH),177.34
2014.12.22,위안화 (CNH),176.97
2014.12.23,위안화 (CNH),176.38
2014.12.24,위안화 (CNH),176.61
2014.12.26,위안화 (CNH),177.91
2014.12.29,위안화 (CNH),176.81
2014.12.30,위안화 (CNH),176.1
2014.12.31,위안화 (CNH),176.81
2015.01.02,위안화 (CNH),176.78
2015.01.05,위안화 (CNH),177.02
2015.01.06,위안화 (CNH),178.02
2015.01.07,위안화 (CNH),177.69
2015.01.08,위안화 (CNH),176.86
2015.01.09,위안화 (CNH),176.65
2015.01.12,위안화 (CNH),176
2015.01.13,위안화 (CNH),174.73
2015.01.14,위안화 (CNH),174.53
2015.01.15,위안화 (CNH),174.33
2015.01.16,위안화 (CNH),174.42
2015.01.19,위안화 (CNH),172.53
2015.01.20,위안화 (CNH),173.49
2015.01.21,위안화 (CNH),174.3
2015.01.22,위안화 (CNH),174.78
2015.01.23,위안화 (CNH),174.44
2015.01.26,위안화 (CNH),173.3
2015.01.27,위안화 (CNH),172.59
2015.01.28,위안화 (CNH),173.32
2015.01.29,위안화 (CNH),173.01
2015.01.30,위안화 (CNH),174.19
2015.02.02,위안화 (CNH),174.43
2015.02.03,위안화 (CNH),175.66
2015.02.04,위안화 (CNH),175.53
2015.02.05,위안화 (CNH),173.92
2015.02.06,위안화 (CNH),174.47
2015.02.09,위안화 (CNH),174.19
2015.02.10,위안화 (CNH),175.46
2015.02.11,위안화 (CNH),174.39
2015.02.12,위안화 (CNH),175.6
2015.02.13,위안화 (CNH),177.46
2015.02.16,위안화 (CNH),175.94
2015.02.17,위안화 (CNH),175.33
2015.02.23,위안화 (CNH),175.41
2015.02.24,위안화 (CNH),176.91
2015.02.25,위안화 (CNH),176.99
2015.02.26,위안화 (CNH),175.82
2015.02.27,위안화 (CNH),175.1
2015.03.02,위안화 (CNH),174.66
2015.03.03,위안화 (CNH),175.28
2015.03.04,위안화 (CNH),174.99
2015.03.05,위안화 (CNH),174.38
2015.03.06,위안화 (CNH),175.32
2015.03.09,위안화 (CNH),175.17
2015.03.10,위안화 (CNH),176.94
2015.03.11,위안화 (CNH),178.26
2015.03.12,위안화 (CNH),179.43
2015.03.13,위안화 (CNH),180.2
2015.03.16,위안화 (CNH),179.13
2015.03.17,위안화 (CNH),180.87
2015.03.18,위안화 (CNH),180.91
2015.03.19,위안화 (CNH),181.02
2015.03.20,위안화 (CNH),179.25
2015.03.23,위안화 (CNH),180.88
2015.03.24,위안화 (CNH),179.85
2015.03.25,위안화 (CNH),178.31
2015.03.26,위안화 (CNH),177.49
2015.03.27,위안화 (CNH),177.62
2015.03.30,위안화 (CNH),177.75
2015.03.31,위안화 (CNH),177.97
2015.04.01,위안화 (CNH),178.73
2015.04.02,위안화 (CNH),177.89
2015.04.03,위안화 (CNH),177.1
2015.04.06,위안화 (CNH),176.64
2015.04.07,위안화 (CNH),175.3
2015.04.08,위안화 (CNH),175.74
2015.04.09,위안화 (CNH),176.15
2015.04.10,위안화 (CNH),175.93
2015.04.13,위안화 (CNH),175.99
2015.04.14,위안화 (CNH),176.13
2015.04.15,위안화 (CNH),176.49
2015.04.16,위안화 (CNH),176.71
2015.04.17,위안화 (CNH),175.95
2015.04.20,위안화 (CNH),175
2015.04.21,위안화 (CNH),174.67
2015.04.22,위안화 (CNH),174.84
2015.04.23,위안화 (CNH),174.65
2015.04.24,위안화 (CNH),174.97
2015.04.27,위안화 (CNH),174.14
2015.04.28,위안화 (CNH),172.85
2015.04.29,위안화 (CNH),172.61
2015.04.30,위안화 (CNH),172.25
2015.05.04,위안화 (CNH),172.17
2015.05.06,위안화 (CNH),174.06
2015.05.07,위안화 (CNH),174.29
2015.05.08,위안화 (CNH),174.92
2015.05.11,위안화 (CNH),175.7
2015.05.12,위안화 (CNH),175.41
2015.05.13,위안화 (CNH),176.55
2015.05.14,위안화 (CNH),176.59
2015.05.15,위안화 (CNH),176.28
2015.05.18,위안화 (CNH),175.6
2015.05.19,위안화 (CNH),174.9
2015.05.20,위안화 (CNH),175.69
2015.05.21,위안화 (CNH),176.45
2015.05.22,위안화 (CNH),176.6
2015.05.26,위안화 (CNH),175.86
2015.05.27,위안화 (CNH),176.92
2015.05.28,위안화 (CNH),178.38
2015.05.29,위안화 (CNH),178.59
2015.06.01,위안화 (CNH),178.52
2015.06.02,위안화 (CNH),179.16
2015.06.03,위안화 (CNH),179.73
2015.06.04,위안화 (CNH),178.42
2015.06.05,위안화 (CNH),178.85
2015.06.08,위안화 (CNH),179.04
2015.06.09,위안화 (CNH),180.65
2015.06.10,위안화 (CNH),180.2
2015.06.11,위안화 (CNH),179.94
2015.06.12,위안화 (CNH),178.75
2015.06.15,위안화 (CNH),178.9
2015.06.16,위안화 (CNH),179.66
2015.06.17,위안화 (CNH),179.95
2015.06.18,위안화 (CNH),180.1
2015.06.19,위안화 (CNH),178.86
2015.06.22,위안화 (CNH),177.86
2015.06.23,위안화 (CNH),177.28
2015.06.24,위안화 (CNH),178.05
2015.06.25,위안화 (CNH),178.69
2015.06.26,위안화 (CNH),178.82
2015.06.29,위안화 (CNH),179.68
2015.06.30,위안화 (CNH),181.09
2015.07.01,위안화 (CNH),180.2
2015.07.02,위안화 (CNH),180.22
2015.07.03,위안화 (CNH),181.08
2015.07.06,위안화 (CNH),180.44
2015.07.07,위안화 (CNH),181.27
2015.07.08,위안화 (CNH),181.57
2015.07.09,위안화 (CNH),182.54
2015.07.10,위안화 (CNH),182.67
2015.07.13,위안화 (CNH),181.74
2015.07.14,위안화 (CNH),182.01
2015.07.15,위안화 (CNH),183.32
2015.07.16,위안화 (CNH),183.62
2015.07.17,위안화 (CNH),184.79
2015.07.20,위안화 (CNH),184.49
2015.07.21,위안화 (CNH),185.35
2015.07.22,위안화 (CNH),186.55
2015.07.23,위안화 (CNH),185.52
2015.07.24,위안화 (CNH),187.04
2015.07.27,위안화 (CNH),187.12
2015.07.28,위안화 (CNH),187.78
2015.07.29,위안화 (CNH),187.56
2015.07.30,위안화 (CNH),186.08
2015.07.31,위안화 (CNH),187.52
2015.08.03,위안화 (CNH),187.97
2015.08.04,위안화 (CNH),187.35
2015.08.05,위안화 (CNH),187.94
2015.08.06,위안화 (CNH),188.51
2015.08.07,위안화 (CNH),188.2
2015.08.10,위안화 (CNH),187.27
2015.08.11,위안화 (CNH),187.44
2015.08.12,위안화 (CNH),182.66
2015.08.13,위안화 (CNH),184.48
2015.08.17,위안화 (CNH),182.2
2015.08.18,위안화 (CNH),183.4
2015.08.19,위안화 (CNH),183.94
